ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
6630,COLLAPSED,2,-36868.381,-2584.133,8564.642,0.002,14643.258,274.452,auto_convert_TRIA3
8411,COLLAPSED,2,-40111.382,2112.217,9061.137,0,315157.798,294.125,auto_convert_TRIA3
9932,COLLAPSED,2,-46532.434,-2150.085,8592.794,0.018,3085.364,321.965,auto_convert_TRIA3
11556,COLLAPSED,2,-41704.541,-1853.255,9057.443,0.002,15995.118,294.666,auto_convert_TRIA3
11602,COLLAPSED,2,-40498.707,-524.363,9057.443,0,142617.496,292.572,auto_convert_TRIA3
11606,COLLAPSED,2,-42033.537,-143.318,8348.745,0.003,8920.312,315.05,auto_convert_TRIA3
11702,COLLAPSED,2,-40114.201,-198.472,8426.082,0.002,7015.098,359.285,auto_convert_TRIA3
11712,COLLAPSED,2,-44777.98,-64.454,8421.055,0.007,4636.273,288.808,auto_convert_TRIA3
11715,COLLAPSED,2,-44690.745,-66.96,8417.624,0,82284.225,292.748,auto_convert_TRIA3
11832,COLLAPSED,2,-44932.781,-60.005,8425.926,0.007,5593.166,304.085,auto_convert_TRIA3
11837,COLLAPSED,2,-44787.81,-64.171,8420.223,0.001,31001.936,301.265,auto_convert_TRIA3
11886,COLLAPSED,2,-45861.266,-33.324,8462.01,0.001,28788.558,292.128,auto_convert_TRIA3
12632,COLLAPSED,2,-47138.662,2406.172,8400.191,0.004,20542.69,359.998,auto_convert_TRIA3
12651,BOWTIE,2,-47026.825,293.643,8509.512,0.06,493.458,310.934,auto_reorder
12997,COLLAPSED,2,-46744.099,0.465,8512.008,0,110310.085,320.479,auto_convert_TRIA3
13974,COLLAPSED,2,-44618.038,2321.249,8862.159,0,415148.387,312.178,auto_convert_TRIA3
14171,COLLAPSED,2,-44672.681,411.746,8862.084,0,438375.016,312.812,auto_convert_TRIA3
14434,COLLAPSED,2,-45775.075,2657.31,8462.1,0.007,5593.527,304.09,auto_convert_TRIA3
14479,COLLAPSED,2,-45786.464,2657.638,8462.5,0.001,32086.467,304.188,auto_convert_TRIA3
14502,COLLAPSED,2,-46671.6,2683.073,8497.318,0.02,1897.255,306.853,auto_convert_TRIA3
14503,COLLAPSED,2,-42549.197,2594.12,8337.584,0.001,21559.448,315.094,auto_convert_TRIA3
14613,COLLAPSED,2,-44707.776,2626.64,8422.416,0.001,26688.772,315.905,auto_convert_TRIA3
14659,COLLAPSED,2,-45614.557,2652.698,8462.978,0.007,7525.978,322.007,auto_convert_TRIA3
15037,SLIVER,2,16088.643,0.037,20229.146,0.124,528.812,317.108,MANUAL_remesh
16214,BOWTIE,2,-5385.882,2810.662,13149.315,1.387,41.678,317.339,auto_reorder
16251,BOWTIE,2,-5385.882,-2810.588,13149.315,1.387,41.678,317.339,auto_reorder
17586,COLLAPSED,2,-5001.187,2191.277,22839.587,0.016,2842.757,317.228,auto_convert_TRIA3
18268,COLLAPSED,2,-4993.382,2182.378,22835.285,0.016,3512.813,316.971,auto_convert_TRIA3
20672,COLLAPSED,2,-4985.578,2191.277,22839.587,0.016,2842.757,317.228,auto_convert_TRIA3
22718,COLLAPSED,2,-4993.382,-2053.097,19723.692,0.023,2387.423,316.625,auto_convert_TRIA3
23611,COLLAPSED,2,-5000.572,-2229.368,10691.512,0,9990000000,290.565,auto_convert_TRIA3
23817,COLLAPSED,2,-4986.186,-2229.373,10691.507,0,9990000000,307.494,auto_convert_TRIA3
26118,COLLAPSED,2,-40111.382,-2110.922,9061.363,0,302392.908,291.057,auto_convert_TRIA3
26186,BOWTIE,2,-40111.382,-103.512,8937.458,1,44.377,327.255,auto_reorder
26196,COLLAPSED,2,-40111.382,-423.406,9061.159,0,319535.891,295.819,auto_convert_TRIA3
27975,BOWTIE,2,-42554.834,2274.847,8688.91,19.784,2.081,324.53,auto_reorder
29369,SLIVER,2,-47036.523,303.882,8493.39,0.06,913.063,316.353,MANUAL_remesh
30603,COLLAPSED_TO_LINE,2,-44938.247,-59.848,8425.702,0.001,36193.012,272.252,MANUAL_delete
30604,COLLAPSED_TO_LINE,2,-44938.249,-59.848,8395.178,0.001,36193.012,272.252,MANUAL_delete
33007,COLLAPSED,2,-4993.382,-2174.058,26158.04,0.004,14947.126,315.66,auto_convert_TRIA3
35714,COLLAPSED,3,-23888.382,2490.672,8918.899,0.02,2768.188,317.336,auto_convert_TRIA3
35804,COLLAPSED,3,-20643.382,2490.672,8918.899,0.02,2768.188,317.336,auto_convert_TRIA3
35893,COLLAPSED,3,-17398.382,2490.672,8918.899,0.02,2768.188,317.336,auto_convert_TRIA3
36260,COLLAPSED,3,-14144.8,2154.273,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
36885,COLLAPSED,3,-17389.8,2154.273,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
36956,COLLAPSED,3,-20634.8,2154.273,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
37027,COLLAPSED,3,-23879.8,2154.273,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
37126,COLLAPSED,3,-14144.8,-2154.198,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
37151,COLLAPSED,3,-14168.969,-2177.756,9074.177,0.003,13689.872,327.163,auto_convert_TRIA3
37327,COLLAPSED,3,-23879.8,-2154.198,9074.177,0.003,17573.857,319.575,auto_convert_TRIA3
