PropID,BadElements,AutoFixable,NeedsManual,MinX,MaxX,MinY,MaxY,MinZ,MaxZ,SpanX,SpanY,SpanZ
2,42,36,6,-47138.662,16088.643,-2810.588,2810.662,8337.584,26158.04,63227.306,5621.25,17820.456
3,359,205,154,-47683.286,16089.311,-2509.358,2650.032,7634.177,20217.118,63772.597,5159.39,12582.941
4,5,4,1,-47207.577,-4993.381,-1940.317,2059.804,8853.223,19108.377,42214.196,4000.121,10255.154
6,48,38,10,-39353.182,-9493.382,-2525.596,2525.649,7855.924,19436.979,29859.799,5051.244,11581.056
7,122,83,39,-47837.151,-5756.688,-2509.358,2790.17,7634.177,19446.677,42080.463,5299.528,11812.5
8,60,29,31,-42546.382,532.023,-2743.461,2743.535,8031.677,26723.898,43078.405,5486.996,18692.221
10,16,16,0,-9486.596,-772.513,-2757.098,2757.173,8759.634,26700.475,8714.083,5514.272,17940.841
14,49,23,26,-36885.095,-1090.883,-2179.735,1168.992,8030.177,8929.077,35794.211,3348.728,898.9
22,128,2,126,-39395.857,-37161.171,-1948.755,1853.183,9071.04,9074.177,2234.686,3801.938,3.137
24,2,2,0,-9508.693,-9508.693,-1882.08,1882.155,11024.844,11024.844,0,3764.235,0
17,56,27,29,-41928.429,19176.115,-2316.956,2316.901,7634.992,20383.938,61104.544,4633.857,12748.947
